Tissue,Sex,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
PA,Male,0.05,0.0680280145756837,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0792557933800952,0.09004649220816016,0.07772097331711683,0.05354659389239248,0.05540957192361382,0.21835335048164445,0.08188483893131489,0.05,0.05,0.05,0.05078584373570284,0.05,0.05,0.05,0.05,0.17818098733835966
Ps,Female,0.5748846261337247,0.10897356594226774,0.12126407666561886,0.7087780515779962,0.26654984695824735,0.33048049819193964,0.11354475926811099,0.12911350023173251,0.12614102604878974,0.6162159808878029,0.40414217456015133,0.43184820768878723,0.31108722791330173,0.0962882920416675,0.4303594883562825,0.0705870561113839,0.13787066548579135,0.07330649971003682,0.07074624268238339,0.05,0.15689508284883164,0.05,0.05,0.05,0.17537565595043877,0.7034849547685967
Ps,Male,0.5517217006845229,0.1082647141492515,0.11375103786399043,0.7278815194793735,0.2827829124063553,0.3233966493931148,0.10806832537363961,0.1256288584109366,0.12133837982252468,0.5772215480226603,0.42115080069868915,0.4083901052512665,0.30359306388332663,0.10919378334463097,0.4160480767106976,0.08006131159764426,0.14936041793092744,0.07577534761777656,0.06794463047337727,0.05,0.17283484569831778,0.05,0.05,0.05,0.16986312623189415,0.6677541600231394
SK,Female,0.25268576249312064,0.27049899903589825,0.19584461370458714,0.44428327726773037,0.21813546592091698,0.22862930592147998,0.1791124533011025,0.1843923123067768,0.1291307528386501,0.1764588008977236,0.24505953136921033,0.22309871821831448,0.22812462059536953,0.10000258310604378,0.13585754843545972,0.09307544899674725,0.12999136950401446,0.08480963204682286,0.08389538426301286,0.05796791226095156,0.11893123892919726,0.05,0.05,0.05,0.13220968650105225,0.2109287027069701
SK,Male,0.36770408111524605,0.20230491038434417,0.12588880624724186,0.5613122862953389,0.24912556222349544,0.2567641572369722,0.1938245272320737,0.23833628184226266,0.20464520848573514,0.21361840541836755,0.30177080972247194,0.30262084668529143,0.28238553599983107,0.07919312212528044,0.12959847843368394,0.05396986792975158,0.1041421475519384,0.10483688159313154,0.09284160320788848,0.062455887012620837,0.11976672126653334,0.05,0.05,0.05,0.169993735345018,0.1702942797608274
SP,Female,0.14884757087588082,0.1537636232592642,0.14683555139032473,0.16004822954368164,0.08872919195364895,0.12330118824944361,0.0890329204334753,0.053733781400408576,0.05,0.0961282233316539,0.1402527946523216,0.1022177401414118,0.10276186789736219,0.10290349077063776,0.07235810410149758,0.05,0.11229891491120644,0.053186771829694425,0.06664026692340058,0.05,0.12673909182656645,0.05,0.05,0.11946341326993808,0.06867728745798328,0.0689475607220103
SP,Male,0.13836353082867636,0.1471863200277718,0.1159340926924862,0.13563654590479873,0.0748055851530913,0.11109294566219444,0.08758643444913035,0.0562007984737478,0.05,0.09552913021572844,0.14768637592972522,0.09986417223461444,0.10046115192948128,0.10459829576718364,0.07081146133899836,0.07724999773424775,0.11225642509689326,0.05154553785166294,0.06536595594480724,0.05,0.11442128500196698,0.05,0.05,0.12506203108475727,0.06871451748736343,0.09399131023707658
SQ,Female,0.3844449161933628,0.6360033090127465,0.7072589071556457,0.6750944211443768,0.6033857332222119,0.4197528984601534,0.3642447122853953,0.7165995613924178,0.3037673738112655,0.09161017725461454,0.6340077755277216,0.5355448718621797,0.5935957848862998,0.07552918044939984,0.21158811031864122,0.05852071981190732,0.09913928878942121,0.12583728903631336,0.07326342118417152,0.05,0.1264432344726856,0.05,0.05,0.05,0.23719777272993992,0.2087870851359212
SQ,Male,0.49435193927593024,0.6298865820162967,0.6151325201201913,0.8178728132020394,0.6618389987951918,0.4412246455793768,0.3673441262509523,0.6260147142985467,0.394484908240832,0.11148757006869488,0.6305013586272498,0.5536026280829335,0.6255666710636839,0.06323194120199398,0.14571380909751955,0.05516370366157216,0.10414432481380702,0.14299819909202557,0.07788680986985252,0.05,0.1301401147049995,0.05,0.05,0.05,0.22818289268058503,0.21780124986666297
Str,Female,0.45680857778022377,0.10361097945491089,0.11374294223952444,0.5403685491777914,0.2367223295438305,0.2768272431551234,0.1158978100664892,0.12566935179497102,0.13999236665500456,0.45794445925869487,0.3759351326569085,0.30768426243207314,0.2505006382894134,0.07302042046296095,0.4512382238395011,0.06048606922498319,0.15577258325684826,0.08555112079604246,0.07598910362183267,0.05,0.18425300672811246,0.05,0.05,0.05,0.15126559534428063,0.5522908556102808
