Sample,Name,Tissue,Sex,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
A211,OB_6h_F_G1,OB,Female,0.4876308835300691,0.0945577537759037,0.0769174883389933,0.738372085798467,0.2583505294714599,0.2826264118344698,0.1207583626915703,0.1180358852496709,0.2979787538564294,0.4808524301115059,0.4227418126705622,0.3381766034146978,0.2613021753097304,0.0765053903106056,0.4911336282184984,0.05,0.1703992863630404,0.0749792322855461,0.064169534190921,0.05,0.2296386305860207,0.05,0.05,0.05,0.1550568331469958,0.4657844441318501
A217,CB_6h_F_G2,CB,Female,0.4637216280493808,0.1150800848200407,0.0778798414776629,0.5558682925677529,0.2763626817425443,0.2928183072123073,0.1242866508649439,0.1104808399219767,0.1215371648484462,0.3523131091604672,0.4215478970845212,0.300356076640528,0.2637607237451289,0.1034092402733761,0.4743336481570794,0.0509329856902652,0.1561764647111535,0.1065386581886191,0.0722091311743876,0.05,0.197270139683832,0.05,0.05,0.05,0.1327239822263609,0.4602511260669706
A218,CB_6h_F_G3,CB,Female,0.5238390353745596,0.1182417231733196,0.0828279792296473,0.5838903573030718,0.2643960881898926,0.3038858276457812,0.1267673245550343,0.113974024213637,0.1362472567666423,0.4206234320325212,0.3890960317828922,0.3050861163503389,0.2563895996229764,0.1094035517419118,0.5022740078367764,0.0553185843475488,0.1610039327140947,0.1217437693221263,0.0797965530970606,0.05,0.1280491883362992,0.05,0.05,0.05,0.1450212798234316,0.5188690697164741
A219,CB_6h_F_G4,CB,Female,0.5095140681348322,0.1290605545299519,0.0812099520025142,0.5824985740434906,0.2513500061319397,0.2969920340178469,0.1319723774199808,0.1158094411853145,0.1347364905696383,0.3690743753979439,0.3907719058811377,0.3166834023199738,0.2373832488284813,0.0908872027388566,0.4735834222826606,0.05,0.1555446894793417,0.1152263079385987,0.0782401908443256,0.05,0.139187083250591,0.05,0.05,0.05,0.1358444653635075,0.5105709644316468
A20,PA_6h_M_G5,PA,Male,0.05,0.0659675581592694,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0765351426907268,0.0879831730826705,0.076391003749977,0.0508111468626193,0.056250318690089,0.223606797749979,0.0803823634513444,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1765266829638485
A1,H_6h_M_G3,H,Male,0.3111388149725843,0.0916084575779621,0.0579130065649046,0.993391514844238,0.3506914372177037,0.7244669228778852,0.7293343837818512,0.2522751615600585,0.05,0.9527664252246172,0.4283711721803588,0.2483709119912124,0.2942254787533697,0.1149916510503423,0.1236979918150391,0.0718367493391174,0.0865319044821021,0.0971279126523751,0.076962907252319,0.05,0.0963827425098369,0.05,0.05,0.05,0.2182620472304584,0.2182620472304584
A134,Gas_6h_F_G4,Gas,Female,0.6508219389287595,0.0675569440884243,0.0634413469552845,0.8281551135341763,0.3202374215927199,0.3774986912434411,0.2634585869455065,0.0819336068082054,0.4903629019433224,0.3890183437915082,0.2366064761143868,0.2095616283452455,0.2382052326307179,0.0802963055878112,0.135889947894839,0.05,0.1067632626352055,0.1161457321069998,0.0982723317383384,0.0619952321535812,0.0917954366244312,0.0520273849621847,0.05,0.0618580261374452,0.1394665450549894,0.1394665450549894
A124,BAT_6h_F_G4,BAT,Female,0.6173880867828051,0.5496769730196669,0.8710656493637718,0.6008526370343726,0.9990797909643292,0.9275295899825402,0.9854193703623636,0.6005129853793483,0.0794484863561025,0.05,0.4454829251614827,0.3643253795151771,0.569546737954799,0.143407954879302,0.1668195682061108,0.1000055637466312,0.0972844290836109,0.1258858525703159,0.05,0.05,0.0725233722503823,0.05,0.05,0.05,0.1388608018985976,0.1035873181870045
A165,OV_6h_F_G5,OV,Female,0.4066947838455469,0.9192228410888508,0.8619492806319282,0.8916931741148251,0.6767845188733486,0.4147320441442324,0.2826120498624148,0.9618657982308542,0.3931570242676759,0.05,0.7069092631528325,0.705370419637364,0.6692826033237329,0.0564698897599363,0.196977187564084,0.0537240528555626,0.1073158007806103,0.1392279071675566,0.0646303199752517,0.05,0.1419474456226463,0.05,0.05,0.05,0.223606797749979,0.1687181425238495
A17,PA_6h_M_G2,PA,Male,0.05,0.0678945907405503,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0747089607456641,0.0854096466941334,0.0747089607456641,0.0528375030876916,0.0536121001477921,0.2216656182353812,0.0794404108710999,0.05,0.05,0.05,0.0539292186785142,0.05,0.05,0.05,0.05,0.1672836658221922
