State,Id,type,flux_calue,flux_std,lb,ub
metabolite,Oxalung,fixed,10,1,0.001,100
metabolite,Oxacytlung,fixed,10,1,0.001,100
metabolite,PEPlung,fixed,10,1,0.001,100
metabolite,m3PGlung,fixed,10,1,0.001,100
metabolite,Pyrlung,fixed,10,1,0.001,100
metabolite,R5Plung,fixed,10,1,0.001,100
metabolite,Ru5Plung,fixed,10,1,0.001,100
metabolite,S7Plung,fixed,10,1,0.001,100
metabolite,Suclung,fixed,10,1,0.001,100
metabolite,Xu5Plung,fixed,10,1,0.001,100
metabolite,Glclung,fixed,10,1,0.001,100
metabolite,Serlung,fixed,10,1,0.001,100
metabolite,AcAsplung,fixed,10,1,0.001,100
metabolite,Uridinelung,fixed,10,1,0.001,100
metabolite,UMPlung,fixed,10,1,0.001,100
metabolite,NADHbrain,fixed,10,1,0.001,100
metabolite,NADPHbrain,fixed,10,1,0.001,100
metabolite,ATPbrain,fixed,10,1,0.001,100
metabolite,AcCOAcytbrain,fixed,10,1,0.001,100
metabolite,AcCOAmitbrain,fixed,10,1,0.001,100
metabolite,aKGbrain,fixed,10,1,0.001,100
metabolite,Alabrain,fixed,10,1,0.001,100
metabolite,Aspbrain,fixed,10,1,0.001,100
metabolite,Citbrain,fixed,10,1,0.001,100
metabolite,CO2inbrain,fixed,10,1,0.001,100
metabolite,DHAPbrain,fixed,10,1,0.001,100
metabolite,E4Pbrain,fixed,10,1,0.001,100
metabolite,F6Pbrain,fixed,10,1,0.001,100
metabolite,FBPbrain,fixed,10,1,0.001,100
metabolite,Fumbrain,fixed,10,1,0.001,100
metabolite,G6Pbrain,fixed,10,1,0.001,100
metabolite,GAPbrain,fixed,10,1,0.001,100
metabolite,Glnbrain,fixed,10,1,0.001,100
metabolite,Glubrain,fixed,10,1,0.001,100
metabolite,Lacbrain,fixed,10,1,0.001,100
metabolite,m6PGbrain,fixed,10,1,0.001,100
metabolite,Malbrain,fixed,10,1,0.001,100
metabolite,Malcytbrain,fixed,10,1,0.001,100
metabolite,Oxabrain,fixed,10,1,0.001,100
metabolite,Oxacytbrain,fixed,10,1,0.001,100
metabolite,PEPbrain,fixed,10,1,0.001,100
metabolite,m3PGbrain,fixed,10,1,0.001,100
metabolite,Pyrbrain,fixed,10,1,0.001,100
metabolite,R5Pbrain,fixed,10,1,0.001,100
metabolite,Ru5Pbrain,fixed,10,1,0.001,100
metabolite,S7Pbrain,fixed,10,1,0.001,100
metabolite,Sucbrain,fixed,10,1,0.001,100
metabolite,Xu5Pbrain,fixed,10,1,0.001,100
metabolite,Glcbrain,fixed,10,1,0.001,100
metabolite,Serbrain,fixed,10,1,0.001,100
metabolite,AcAspbrain,fixed,10,1,0.001,100
metabolite,Uridinebrain,fixed,10,1,0.001,100
metabolite,UMPbrain,fixed,10,1,0.001,100
