Tissue,Sex,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
Gas,Female,0.4069607075181816,-0.22461385537473827,-0.2283515946903564,0.5973524654547648,0.0070217922721331205,0.08296708813412226,-0.05806659698977244,-0.19270223183879248,0.1677261777830163,0.12110879360381563,-0.05113889774793702,-0.07081232242564925,-0.04939989350592982,-0.21948275335796855,-0.1644745415789029,-0.2398849032894685,-0.19237818730942977,-0.19336328255291418,-0.20034489907600136,-0.23748585685875226,-0.18751624142264448,-0.23947942629703153,-0.2398849032894685,-0.23751329806197946,-0.1467845751047932,-0.1467845751047932
Gas,Male,0.4161495904331554,-0.2040277585583476,-0.20817774997729713,0.5183303144788913,-0.00313782284433392,0.0966761713882585,-0.05192867322103064,-0.182976741575887,0.1165849472990514,0.16231322419919883,-0.01230126764137708,-0.031163321073059518,-0.03142510377832572,-0.20897512083174297,-0.15008203634933973,-0.21946352444166922,-0.17732289321581476,-0.1838791790171159,-0.1793555583718676,-0.21946352444166922,-0.17975202720398453,-0.21946352444166922,-0.21946352444166922,-0.21946352444166922,-0.12366746723483875,-0.12366746723483875
H,Female,-0.2778664371252514,-0.46553678314031866,-0.48998192167025617,0.203502391511558,-0.15407572253005314,0.08134979013349405,0.03673199930280474,-0.35424395251338686,-0.4966464174574908,0.1385550431912164,-0.21946693247936871,-0.33474344120309985,-0.2944462193548392,-0.4590338617158354,-0.43444741269479537,-0.4839205318723831,-0.45620816701287187,-0.46879302225160824,-0.4727443779462169,-0.4966464174574908,-0.45441580760618033,-0.4966464174574908,-0.4966464174574908,-0.4966464174574908,-0.3617768977168193,-0.3617768977168193
H,Male,-0.3418321670950012,-0.5658868064836637,-0.5953447786485411,0.25689469022280326,-0.2824155537805889,0.050211575298480436,0.02833541237143864,-0.44031338644970947,-0.6030703941094189,0.26689271199383713,-0.23036814735449038,-0.39131986943854086,-0.3588008808091932,-0.5503640859493918,-0.5351891939589526,-0.5896712467873622,-0.56494651000436,-0.5624190903899998,-0.5745981338002383,-0.6063390560476524,-0.5566677163730782,-0.6063390560476524,-0.6063390560476524,-0.6063390560476524,-0.441970127743584,-0.441970127743584
HC,Female,0.26785026311311894,-0.1202701909437804,-0.11655447684810576,0.09670025501528626,0.07327824503294166,0.05383534419271454,-0.08785285341756156,-0.09656668469415877,-0.0265595240036139,0.1776785529048238,0.11649803379475802,0.07550765994451648,-0.00554138877439232,-0.13112324514106405,0.1301179259764536,-0.14636820613755205,-0.04776983840619188,-0.12505520559155273,-0.13355860645428805,-0.1481030499728896,-0.0209872755725352,-0.1481030499728896,-0.1481030499728896,-0.1481030499728896,-0.061098500797203734,0.3003938177272393
HC,Male,0.32163806477401874,-0.13136979380714392,-0.133122992694313,0.10431851279508472,0.03734193372165776,0.03836918229347556,-0.10379421405042297,-0.12101767270995675,-0.05419895617714654,0.19596023826494266,0.11212480646112977,0.04048337020808156,-0.0404571271265471,-0.1498409415165271,0.1587532250654522,-0.1701844528216553,-0.06605814267773098,-0.13548035390098634,-0.15481930080885467,-0.1701844528216553,-0.05267203167301587,-0.1701844528216553,-0.1701844528216553,-0.1701844528216553,-0.07609731620004843,0.3194716657000206
KD,Female,0.1513476290434663,-0.0712832154595891,-0.07215182106637948,0.5646904556599613,0.11540068910027843,0.5072992257007833,0.3418219087205883,-0.1536872060432129,-0.0516525871930945,0.16344297317285605,0.34553560305802866,0.11306771079733842,0.183894319209312,-0.004636151122126039,0.6308093693540966,-0.15368164193894748,0.09473243212551787,0.5902249618686426,-0.07396320910550588,-0.1277107445371181,0.322953481189686,-0.042654057305331,-0.10185345096564613,-0.01011091075838342,-0.07058948156712352,-0.07215888538321145
KD,Male,0.10831925633540936,-0.040619771831926055,-0.07576375567428742,0.7271833095833513,0.026088022864867437,0.49666323667613976,0.41159652439006206,-0.17048683007273646,-0.05828415156887634,0.2200674757568548,0.4613147526647274,0.11320244657492214,0.21524662596060762,0.10378456657910459,0.6787995120338748,-0.15156281822615564,0.18660970415072287,0.696172489614694,-0.12872439320374518,-0.16414437154220152,0.5027049201841731,-0.0475085469838592,-0.10284158552512494,-0.03932353255467784,-0.0777918458295231,-0.04629978008983584
LUN,Female,0.0243329648313531,0.038016667203216496,-0.00866206302084606,0.07381992133901841,0.016533615676919362,0.04195592806483546,0.01018198104057934,-0.025874251187293577,-0.05992667446706183,-0.01455385004528838,0.08445866901281493,0.04770574657311394,0.02257905352435604,-0.04290147919810362,0.0302276987960856,-0.0648063348160482,0.01017520403313862,-0.028398303077596776,-0.00958070275364204,-0.0648063348160482,0.0031691294924434594,-0.0648063348160482,-0.0648063348160482,-0.06467335386531606,-0.029414642964142423,0.01491570737568636
LUN,Male,0.0311188250937806,0.04985073972095366,0.0007848194026709602,0.07461790477313798,0.018740195510416217,0.04932014972828404,0.016924620625607362,-0.00447932145437829,-0.04295682060665816,-0.0087238556306257,0.07910911311310294,0.04871484413276006,0.030395214079919457,-0.03031291769244072,0.05069262814546788,-0.0483731250851211,0.032428428966047765,-0.01760819900271176,0.00808778327824634,-0.0483731250851211,0.018553464267641782,-0.0483731250851211,-0.0483731250851211,-0.0483731250851211,-0.014610404277302619,0.03277309674280634
